vhigh,vhigh,2,2,low,unacc
vhigh,vhigh,2,2,med,unacc
vhigh,vhigh,2,2,high,unacc
vhigh,vhigh,2,2,low,unacc
vhigh,vhigh,2,2,med,unacc
vhigh,vhigh,2,2,high,unacc
vhigh,vhigh,2,2,low,unacc
vhigh,vhigh,2,2,med,unacc
vhigh,vhigh,2,2,high,unacc
vhigh,vhigh,2,4,low,unacc
vhigh,vhigh,2,4,med,unacc
vhigh,vhigh,2,4,high,unacc
vhigh,vhigh,2,4,low,unacc
vhigh,vhigh,2,4,med,unacc
vhigh,vhigh,2,4,high,unacc
vhigh,vhigh,2,4,low,unacc
vhigh,vhigh,2,4,med,unacc
vhigh,vhigh,2,4,high,unacc
vhigh,vhigh,2,more,low,unacc
vhigh,vhigh,2,more,med,unacc
vhigh,vhigh,2,more,high,unacc
vhigh,vhigh,2,more,low,unacc
vhigh,vhigh,2,more,med,unacc
vhigh,vhigh,2,more,high,unacc
vhigh,vhigh,2,more,low,unacc
vhigh,vhigh,2,more,med,unacc
vhigh,vhigh,2,more,high,unacc
vhigh,vhigh,3,2,low,unacc
vhigh,vhigh,3,2,med,unacc
vhigh,vhigh,3,2,high,unacc
vhigh,vhigh,3,2,low,unacc
vhigh,vhigh,3,2,med,unacc
vhigh,vhigh,3,2,high,unacc
vhigh,vhigh,3,2,low,unacc
vhigh,vhigh,3,2,med,unacc
vhigh,vhigh,3,2,high,unacc
vhigh,vhigh,3,4,low,unacc
vhigh,vhigh,3,4,med,unacc
vhigh,vhigh,3,4,high,unacc
vhigh,vhigh,3,4,low,unacc
vhigh,vhigh,3,4,med,unacc
vhigh,vhigh,3,4,high,unacc
vhigh,vhigh,3,4,low,unacc
vhigh,vhigh,3,4,med,unacc
vhigh,vhigh,3,4,high,unacc
vhigh,vhigh,3,more,low,unacc
vhigh,vhigh,3,more,med,unacc
vhigh,vhigh,3,more,high,unacc
vhigh,vhigh,3,more,low,unacc
vhigh,vhigh,3,more,med,unacc
vhigh,vhigh,3,more,high,unacc
vhigh,vhigh,3,more,low,unacc
vhigh,vhigh,3,more,med,unacc
vhigh,vhigh,3,more,high,unacc
vhigh,vhigh,4,2,low,unacc
vhigh,vhigh,4,2,med,unacc
vhigh,vhigh,4,2,high,unacc
